Report Type : StationReport,,,,,,,
Date,Time,NOx,SO2,NO,NO2,TRS,O3
,,ppb,ppb,ppb,ppb,ppb,ppb
12/31/2018,24:00 AM,0.6,0.4,0,0.6,0.6,38.3
1/1/2019,1:00 AM,1.2,0.4,0.2,1,0.7,37.6
1/1/2019,2:00 AM,,,,,,
1/1/2019,3:00 AM,0.6,0.2,0.1,0.5,0.1,38.1
1/1/2019,4:00 AM,1.7,0.1,0.1,1.6,0,36.7
1/1/2019,5:00 AM,0.5,0.1,0.1,0.3,0,37.9
1/1/2019,6:00 AM,0.5,0.3,0.2,0.3,0.1,37.8
1/1/2019,7:00 AM,0.6,0.5,0.2,0.4,0.1,37.5
1/1/2019,8:00 AM,0.4,0.6,0.1,0.3,0.1,37.2
1/1/2019,9:00 AM,0.9,0.5,0.4,0.4,0.1,36.8
1/1/2019,10:00 AM,0.6,0.8,0.2,0.4,0.1,36.5
1/1/2019,11:00 AM,0.9,0.9,0.4,0.5,0.1,36.3
1/1/2019,12:00 PM,0.7,0.4,0.2,0.4,0,36.3
1/1/2019,1:00 PM,1.9,0.3,1.6,0.4,0.1,36.4
1/1/2019,2:00 PM,1.3,0.6,0.8,0.6,0.2,36.1
1/1/2019,3:00 PM,0.7,0.3,0.2,0.5,0.1,36.3
1/1/2019,4:00 PM,0.4,0.2,0.1,0.3,0.1,36.7
1/1/2019,5:00 PM,0.6,0.1,0.2,0.4,0.1,36.7
1/1/2019,6:00 PM,0.5,0.1,0.1,0.3,0.2,37
1/1/2019,7:00 PM,0.5,0.1,0.3,0.3,0.3,37.2
1/1/2019,8:00 PM,0.7,0.2,0.2,0.4,0.3,37
1/1/2019,9:00 PM,1.2,0.3,0.2,1,0.3,37.2
1/1/2019,10:00 PM,0.5,0.2,0.2,0.4,0.3,38.1
1/1/2019,11:00 PM,0.4,0.2,0.1,0.3,0.3,38.2
1/1/2019,24:00 AM,1.5,0.3,0.1,1.3,0.3,37.5
1/2/2019,1:00 AM,1.4,0.3,0.3,1.1,0.3,38.5
1/2/2019,2:00 AM,2.3,0.2,0.2,2.1,0.3,39.6
1/2/2019,3:00 AM,,,,,,
1/2/2019,4:00 AM,0.4,0.2,0.2,0.2,0.1,39.4
1/2/2019,5:00 AM,0.4,0.2,0.2,0.2,0.1,38.8
1/2/2019,6:00 AM,0.4,0.2,0.3,0.1,0,38.4
1/2/2019,7:00 AM,0.4,0.2,0.2,0.2,0.1,37.7
1/2/2019,8:00 AM,0.4,0.2,0.1,0.3,0.1,37.3
1/2/2019,9:00 AM,0.6,0.3,0.3,0.3,0.1,37.5
1/2/2019,10:00 AM,0.5,0.2,0.2,0.3,0.2,37.3
1/2/2019,11:00 AM,0.6,0.2,0.2,0.3,0.2,36.8
1/2/2019,12:00 PM,0.6,0.3,0.2,0.4,0.1,36.4
1/2/2019,1:00 PM,0.6,0.3,0.3,0.3,0.1,36.2
1/2/2019,2:00 PM,0.8,0.3,0.5,0.3,0.1,35.5
1/2/2019,3:00 PM,0.6,0.3,0.2,0.4,0.1,35
1/2/2019,4:00 PM,1,0.3,0.3,0.7,0,34.3
1/2/2019,5:00 PM,0.6,0.4,0.2,0.4,0.1,35.1
1/2/2019,6:00 PM,0.5,0.6,0.2,0.4,0.1,35.8
1/2/2019,7:00 PM,0.5,0.5,0.1,0.4,0.1,36.1
1/2/2019,8:00 PM,0.6,0.4,0.2,0.4,0,37.4
1/2/2019,9:00 PM,1,0.3,0.3,0.7,0,37.6
1/2/2019,10:00 PM,0.9,0.3,0.3,0.6,0,37.7
1/2/2019,11:00 PM,0.7,0.2,0.2,0.5,0,38.1
1/2/2019,24:00 AM,0.6,0.2,0.1,0.5,0.1,38.9
1/3/2019,1:00 AM,2.4,0.2,0.2,2.2,0,38.6
1/3/2019,2:00 AM,0.9,0.1,0.2,0.7,0,38.7
1/3/2019,3:00 AM,0.8,0.3,0.1,0.6,0.1,38.7
1/3/2019,4:00 AM,,,,,,
1/3/2019,5:00 AM,0.5,0.8,0.2,0.4,0.2,39.3
1/3/2019,6:00 AM,0.6,0.6,0.2,0.4,0.2,39.2
1/3/2019,7:00 AM,0.8,0.3,0.2,0.5,0.1,38.8
1/3/2019,8:00 AM,2.9,0.3,0.1,2.8,0.1,35.1
1/3/2019,9:00 AM,5.4,0.2,0.3,5.1,0.1,33.1
1/3/2019,10:00 AM,1.6,0.4,0.3,1.3,0.1,36.4
1/3/2019,11:00 AM,5.6,0.3,1.2,4.3,0.1,31.7
1/3/2019,12:00 PM,6.8,0.3,1.5,5.3,0.2,30.6
1/3/2019,1:00 PM,7.1,0.3,1.7,5.4,0.2,29.3
1/3/2019,2:00 PM,14.1,0.4,2.9,11.2,0.2,25
1/3/2019,3:00 PM,7.2,0.3,0.9,6.2,0.1,28.4
1/3/2019,4:00 PM,9.7,0.4,2.8,7,0.1,23
1/3/2019,5:00 PM,9,0.3,1.4,7.4,0,20
1/3/2019,6:00 PM,8.2,0.2,0.2,8,0.1,19.2
1/3/2019,7:00 PM,14.9,0.1,0.9,14,0.1,13.1
1/3/2019,8:00 PM,9.3,0.1,0.1,9.2,0.1,16.5
1/3/2019,9:00 PM,8.7,0.2,0.2,8.5,0.1,17.9
1/3/2019,10:00 PM,7.2,0.1,0,7.2,0,19.8
1/3/2019,11:00 PM,8.2,0.2,0.2,8,0.1,17.5
1/3/2019,24:00 AM,12.8,0.2,0.3,12.5,0.2,14.7
1/4/2019,1:00 AM,8.7,0.2,0.2,8.5,0,19
1/4/2019,2:00 AM,10.5,0.2,0.3,10.1,0.1,17.1
1/4/2019,3:00 AM,9.5,0.2,0.2,9.4,0.1,15.6
1/4/2019,4:00 AM,8.1,0.3,0.2,7.9,0.2,18.1
1/4/2019,5:00 AM,,,,,,
1/4/2019,6:00 AM,6.9,0.3,0.1,6.7,0.3,20.2
1/4/2019,7:00 AM,8.8,0.5,0.4,8.4,0.3,21.4
1/4/2019,8:00 AM,5.8,0.6,0.1,5.7,0.3,26.3
1/4/2019,9:00 AM,4.9,0.5,0.2,4.6,0.3,27.4
1/4/2019,10:00 AM,4.1,0.5,0.4,3.7,0.3,29
1/4/2019,11:00 AM,5.1,0.6,1,4.1,0.3,29
1/4/2019,12:00 PM,5.1,0.8,0.9,4.2,0.3,29.7
1/4/2019,1:00 PM,4.9,1,1.1,3.8,0.2,30.3
1/4/2019,2:00 PM,4.1,1.2,0.8,3.3,0.2,30.9
1/4/2019,3:00 PM,5.5,0.8,0.7,4.8,0.1,28.3
1/4/2019,4:00 PM,6.6,0.5,0.5,6.1,0.1,25.6
1/4/2019,5:00 PM,6.4,0.5,0.3,6.1,0.1,24.2
