,NOx,SO2,NO,NO2,TRS,O3
0,1.2,0.4,0.2,1.0,0.7,37.6
1,0.8999999999999999,0.30000000000000004,0.15000000000000002,0.75,0.39999999999999997,37.85
2,0.6,0.2,0.1,0.5,0.1,38.1
3,1.7,0.1,0.1,1.6,0.0,36.7
4,0.5,0.1,0.1,0.3,0.0,37.9
5,0.5,0.3,0.2,0.3,0.1,37.8
6,0.6,0.5,0.2,0.4,0.1,37.5
7,0.4,0.6,0.1,0.3,0.1,37.2
8,0.9,0.5,0.4,0.4,0.1,36.8
9,0.6,0.8,0.2,0.4,0.1,36.5
10,0.9,0.9,0.4,0.5,0.1,36.3
11,0.7,0.4,0.2,0.4,0.0,36.3
12,1.9,0.3,1.6,0.4,0.1,36.4
13,1.3,0.6,0.8,0.6,0.2,36.1
14,0.7,0.3,0.2,0.5,0.1,36.3
15,0.4,0.2,0.1,0.3,0.1,36.7
16,0.6,0.1,0.2,0.4,0.1,36.7
17,0.5,0.1,0.1,0.3,0.2,37.0
18,0.5,0.1,0.3,0.3,0.3,37.2
19,0.7,0.2,0.2,0.4,0.3,37.0
20,1.2,0.3,0.2,1.0,0.3,37.2
21,0.5,0.2,0.2,0.4,0.3,38.1
22,0.4,0.2,0.1,0.3,0.3,38.2
23,1.5,0.3,0.1,1.3,0.3,37.5
24,1.4,0.3,0.3,1.1,0.3,38.5
25,2.3,0.2,0.2,2.1,0.3,39.6
26,1.3499999999999999,0.2,0.2,1.15,0.2,39.5
27,0.4,0.2,0.2,0.2,0.1,39.4
28,0.4,0.2,0.2,0.2,0.1,38.8
29,0.4,0.2,0.3,0.1,0.0,38.4
30,0.4,0.2,0.2,0.2,0.1,37.7
31,0.4,0.2,0.1,0.3,0.1,37.3
32,0.6,0.3,0.3,0.3,0.1,37.5
33,0.5,0.2,0.2,0.3,0.2,37.3
34,0.6,0.2,0.2,0.3,0.2,36.8
35,0.6,0.3,0.2,0.4,0.1,36.4
36,0.6,0.3,0.3,0.3,0.1,36.2
37,0.8,0.3,0.5,0.3,0.1,35.5
38,0.6,0.3,0.2,0.4,0.1,35.0
39,1.0,0.3,0.3,0.7,0.0,34.3
40,0.6,0.4,0.2,0.4,0.1,35.1
41,0.5,0.6,0.2,0.4,0.1,35.8
42,0.5,0.5,0.1,0.4,0.1,36.1
43,0.6,0.4,0.2,0.4,0.0,37.4
44,1.0,0.3,0.3,0.7,0.0,37.6
45,0.9,0.3,0.3,0.6,0.0,37.7
46,0.7,0.2,0.2,0.5,0.0,38.1
47,0.6,0.2,0.1,0.5,0.1,38.9
48,2.4,0.2,0.2,2.2,0.0,38.6
49,0.9,0.1,0.2,0.7,0.0,38.7
50,0.8,0.3,0.1,0.6,0.1,38.7
51,0.65,0.55,0.15000000000000002,0.5,0.15000000000000002,39.0
52,0.5,0.8,0.2,0.4,0.2,39.3
53,0.6,0.6,0.2,0.4,0.2,39.2
54,0.8,0.3,0.2,0.5,0.1,38.8
55,2.9,0.3,0.1,2.8,0.1,35.1
56,5.4,0.2,0.3,5.1,0.1,33.1
57,1.6,0.4,0.3,1.3,0.1,36.4
58,5.6,0.3,1.2,4.3,0.1,31.7
59,6.8,0.3,1.5,5.3,0.2,30.6
60,7.1,0.3,1.7,5.4,0.2,29.3
61,14.1,0.4,2.9,11.2,0.2,25.0
62,7.2,0.3,0.9,6.2,0.1,28.4
63,9.7,0.4,2.8,7.0,0.1,23.0
64,9.0,0.3,1.4,7.4,0.0,20.0
65,8.2,0.2,0.2,8.0,0.1,19.2
66,14.9,0.1,0.9,14.0,0.1,13.1
67,9.3,0.1,0.1,9.2,0.1,16.5
68,8.7,0.2,0.2,8.5,0.1,17.9
69,7.2,0.1,0.0,7.2,0.0,19.8
70,8.2,0.2,0.2,8.0,0.1,17.5
71,12.8,0.2,0.3,12.5,0.2,14.7
72,8.7,0.2,0.2,8.5,0.0,19.0
