Datetime,NOx,SO2,NO,NO2,TRS,O3
2018-12-31 00:00:00,0.6,0.4,0.0,0.6,0.6,38.3
2019-01-01 01:00:00,1.2,0.4,0.2,1.0,0.7,37.6
2019-01-01 02:00:00,0.8999999999999999,0.30000000000000004,0.15000000000000002,0.75,0.39999999999999997,37.85
2019-01-01 03:00:00,0.6,0.2,0.1,0.5,0.1,38.1
2019-01-01 04:00:00,1.7,0.1,0.1,1.6,0.0,36.7
2019-01-01 05:00:00,0.5,0.1,0.1,0.3,0.0,37.9
2019-01-01 06:00:00,0.5,0.3,0.2,0.3,0.1,37.8
2019-01-01 07:00:00,0.6,0.5,0.2,0.4,0.1,37.5
2019-01-01 08:00:00,0.4,0.6,0.1,0.3,0.1,37.2
2019-01-01 09:00:00,0.9,0.5,0.4,0.4,0.1,36.8
2019-01-01 10:00:00,0.6,0.8,0.2,0.4,0.1,36.5
2019-01-01 11:00:00,0.9,0.9,0.4,0.5,0.1,36.3
2019-01-01 12:00:00,0.7,0.4,0.2,0.4,0.0,36.3
2019-01-01 13:00:00,1.9,0.3,1.6,0.4,0.1,36.4
2019-01-01 14:00:00,1.3,0.6,0.8,0.6,0.2,36.1
2019-01-01 15:00:00,0.7,0.3,0.2,0.5,0.1,36.3
2019-01-01 16:00:00,0.4,0.2,0.1,0.3,0.1,36.7
2019-01-01 17:00:00,0.6,0.1,0.2,0.4,0.1,36.7
2019-01-01 18:00:00,0.5,0.1,0.1,0.3,0.2,37.0
2019-01-01 19:00:00,0.5,0.1,0.3,0.3,0.3,37.2
2019-01-01 20:00:00,0.7,0.2,0.2,0.4,0.3,37.0
2019-01-01 21:00:00,1.2,0.3,0.2,1.0,0.3,37.2
2019-01-01 22:00:00,0.5,0.2,0.2,0.4,0.3,38.1
2019-01-01 23:00:00,0.4,0.2,0.1,0.3,0.3,38.2
2019-01-01 00:00:00,1.5,0.3,0.1,1.3,0.3,37.5
2019-01-02 01:00:00,1.4,0.3,0.3,1.1,0.3,38.5
2019-01-02 02:00:00,2.3,0.2,0.2,2.1,0.3,39.6
2019-01-02 03:00:00,1.3499999999999999,0.2,0.2,1.15,0.2,39.5
2019-01-02 04:00:00,0.4,0.2,0.2,0.2,0.1,39.4
2019-01-02 05:00:00,0.4,0.2,0.2,0.2,0.1,38.8
2019-01-02 06:00:00,0.4,0.2,0.3,0.1,0.0,38.4
2019-01-02 07:00:00,0.4,0.2,0.2,0.2,0.1,37.7
2019-01-02 08:00:00,0.4,0.2,0.1,0.3,0.1,37.3
2019-01-02 09:00:00,0.6,0.3,0.3,0.3,0.1,37.5
2019-01-02 10:00:00,0.5,0.2,0.2,0.3,0.2,37.3
2019-01-02 11:00:00,0.6,0.2,0.2,0.3,0.2,36.8
2019-01-02 12:00:00,0.6,0.3,0.2,0.4,0.1,36.4
2019-01-02 13:00:00,0.6,0.3,0.3,0.3,0.1,36.2
2019-01-02 14:00:00,0.8,0.3,0.5,0.3,0.1,35.5
2019-01-02 15:00:00,0.6,0.3,0.2,0.4,0.1,35.0
2019-01-02 16:00:00,1.0,0.3,0.3,0.7,0.0,34.3
2019-01-02 17:00:00,0.6,0.4,0.2,0.4,0.1,35.1
2019-01-02 18:00:00,0.5,0.6,0.2,0.4,0.1,35.8
2019-01-02 19:00:00,0.5,0.5,0.1,0.4,0.1,36.1
2019-01-02 20:00:00,0.6,0.4,0.2,0.4,0.0,37.4
2019-01-02 21:00:00,1.0,0.3,0.3,0.7,0.0,37.6
2019-01-02 22:00:00,0.9,0.3,0.3,0.6,0.0,37.7
2019-01-02 23:00:00,0.7,0.2,0.2,0.5,0.0,38.1
2019-01-02 00:00:00,0.6,0.2,0.1,0.5,0.1,38.9
2019-01-03 01:00:00,2.4,0.2,0.2,2.2,0.0,38.6
2019-01-03 02:00:00,0.9,0.1,0.2,0.7,0.0,38.7
2019-01-03 03:00:00,0.8,0.3,0.1,0.6,0.1,38.7
2019-01-03 04:00:00,0.65,0.55,0.15000000000000002,0.5,0.15000000000000002,39.0
2019-01-03 05:00:00,0.5,0.8,0.2,0.4,0.2,39.3
2019-01-03 06:00:00,0.6,0.6,0.2,0.4,0.2,39.2
2019-01-03 07:00:00,0.8,0.3,0.2,0.5,0.1,38.8
2019-01-03 08:00:00,2.9,0.3,0.1,2.8,0.1,35.1
2019-01-03 09:00:00,5.4,0.2,0.3,5.1,0.1,33.1
2019-01-03 10:00:00,1.6,0.4,0.3,1.3,0.1,36.4
2019-01-03 11:00:00,5.6,0.3,1.2,4.3,0.1,31.7
2019-01-03 12:00:00,6.8,0.3,1.5,5.3,0.2,30.6
2019-01-03 13:00:00,7.1,0.3,1.7,5.4,0.2,29.3
2019-01-03 14:00:00,14.1,0.4,2.9,11.2,0.2,25.0
2019-01-03 15:00:00,7.2,0.3,0.9,6.2,0.1,28.4
2019-01-03 16:00:00,9.7,0.4,2.8,7.0,0.1,23.0
2019-01-03 17:00:00,9.0,0.3,1.4,7.4,0.0,20.0
2019-01-03 18:00:00,8.2,0.2,0.2,8.0,0.1,19.2
2019-01-03 19:00:00,14.9,0.1,0.9,14.0,0.1,13.1
2019-01-03 20:00:00,9.3,0.1,0.1,9.2,0.1,16.5
2019-01-03 21:00:00,8.7,0.2,0.2,8.5,0.1,17.9
2019-01-03 22:00:00,7.2,0.1,0.0,7.2,0.0,19.8
2019-01-03 23:00:00,8.2,0.2,0.2,8.0,0.1,17.5
2019-01-03 00:00:00,12.8,0.2,0.3,12.5,0.2,14.7
2019-01-04 01:00:00,8.7,0.2,0.2,8.5,0.0,19.0
2019-01-04 02:00:00,10.5,0.2,0.3,10.1,0.1,17.1
2019-01-04 03:00:00,9.5,0.2,0.2,9.4,0.1,15.6
2019-01-04 04:00:00,8.1,0.3,0.2,7.9,0.2,18.1
2019-01-04 05:00:00,7.5,0.3,0.15000000000000002,7.300000000000001,0.25,19.15
2019-01-04 06:00:00,6.9,0.3,0.1,6.7,0.3,20.2
2019-01-04 07:00:00,8.8,0.5,0.4,8.4,0.3,21.4
2019-01-04 08:00:00,5.8,0.6,0.1,5.7,0.3,26.3
2019-01-04 09:00:00,4.9,0.5,0.2,4.6,0.3,27.4
2019-01-04 10:00:00,4.1,0.5,0.4,3.7,0.3,29.0
2019-01-04 11:00:00,5.1,0.6,1.0,4.1,0.3,29.0
2019-01-04 12:00:00,5.1,0.8,0.9,4.2,0.3,29.7
2019-01-04 13:00:00,4.9,1.0,1.1,3.8,0.2,30.3
2019-01-04 14:00:00,4.1,1.2,0.8,3.3,0.2,30.9
2019-01-04 15:00:00,5.5,0.8,0.7,4.8,0.1,28.3
2019-01-04 16:00:00,6.6,0.5,0.5,6.1,0.1,25.6
2019-01-04 17:00:00,6.4,0.5,0.3,6.1,0.1,24.2
2019-01-04 18:00:00,6.1,1.1,0.3,5.8,0.1,25.0
2019-01-04 19:00:00,5.7,1.2,0.3,5.4,0.2,24.6
2019-01-04 20:00:00,5.6,1.5,0.1,5.6,0.1,23.6
2019-01-04 21:00:00,6.3,1.7,0.3,6.1,0.1,22.4
2019-01-04 22:00:00,5.9,1.0,0.2,5.7,0.1,21.2
2019-01-04 23:00:00,4.1,0.6,0.2,3.9,0.1,23.2
2019-01-04 00:00:00,4.0,0.4,0.1,3.9,0.0,28.6
2019-01-05 01:00:00,4.0,0.3,0.2,3.8,0.1,32.6
2019-01-05 02:00:00,5.0,0.2,0.2,4.8,0.1,31.1
2019-01-05 03:00:00,3.9,0.2,0.2,3.8,0.1,31.1
2019-01-05 04:00:00,4.2,0.5,0.2,4.0,0.0,31.0
2019-01-05 05:00:00,4.8,0.4,0.2,4.6,0.1,29.8
2019-01-05 06:00:00,5.449999999999999,0.65,0.30000000000000004,5.15,0.05,28.55
2019-01-05 07:00:00,6.1,0.9,0.4,5.7,0.0,27.3
2019-01-05 08:00:00,5.7,0.8,0.1,5.6,0.0,26.6
2019-01-05 09:00:00,7.0,0.8,0.4,6.6,0.0,24.6
2019-01-05 10:00:00,6.7,1.0,1.0,5.7,0.0,25.1
2019-01-05 11:00:00,7.0,1.9,1.6,5.4,0.2,24.7
2019-01-05 12:00:00,9.5,2.2,3.2,6.3,0.1,24.1
2019-01-05 13:00:00,10.2,2.5,3.2,7.0,0.1,22.8
2019-01-05 14:00:00,9.4,3.1,2.7,6.7,0.2,22.7
2019-01-05 15:00:00,7.6,1.7,1.3,6.3,0.2,23.2
2019-01-05 16:00:00,5.5,1.5,0.5,5.0,0.2,24.6
2019-01-05 17:00:00,4.8,1.0,0.3,4.5,0.2,24.6
2019-01-05 18:00:00,4.4,0.9,0.3,4.1,0.1,24.5
2019-01-05 19:00:00,3.5,0.8,0.3,3.2,0.2,24.6
2019-01-05 20:00:00,3.5,0.4,0.3,3.2,0.2,24.0
2019-01-05 21:00:00,3.2,0.4,0.2,3.0,0.2,24.6
2019-01-05 22:00:00,2.5,0.5,0.2,2.3,0.3,25.2
2019-01-05 23:00:00,3.0,0.9,0.2,2.8,0.4,24.1
2019-01-05 00:00:00,2.2,0.7,0.2,2.1,0.3,25.6
2019-01-06 01:00:00,1.8,0.6,0.2,1.6,0.3,26.6
2019-01-06 02:00:00,1.1,0.3,0.2,0.9,0.3,28.9
2019-01-06 03:00:00,1.1,0.3,0.3,0.8,0.2,30.0
2019-01-06 04:00:00,0.8,0.3,0.1,0.7,0.3,30.2
2019-01-06 05:00:00,0.8,0.3,0.1,0.7,0.3,30.8
2019-01-06 06:00:00,1.0,0.3,0.1,0.9,0.2,31.1
2019-01-06 07:00:00,1.1,0.3,0.15000000000000002,0.95,0.4,31.1
2019-01-06 08:00:00,1.2,0.3,0.2,1.0,0.6,31.1
2019-01-06 09:00:00,1.3,0.2,0.2,1.1,0.6,29.7
2019-01-06 10:00:00,2.0,0.3,0.5,1.5,0.5,29.4
2019-01-06 11:00:00,1.2,0.2,0.4,0.9,0.6,30.4
2019-01-06 12:00:00,1.1,0.2,0.3,0.8,0.4,31.7
2019-01-06 13:00:00,1.7,0.2,0.7,1.1,0.5,31.9
2019-01-06 14:00:00,5.1,0.2,3.5,1.8,0.5,31.0
2019-01-06 15:00:00,1.3,0.2,0.4,1.0,0.5,31.3
2019-01-06 16:00:00,1.4,0.2,0.5,0.9,0.4,31.8
2019-01-06 17:00:00,1.7,0.2,0.3,1.4,0.3,31.4
2019-01-06 18:00:00,1.2,0.2,0.1,1.1,0.4,30.9
2019-01-06 19:00:00,1.4,0.2,0.1,1.3,0.3,29.9
2019-01-06 20:00:00,1.1,0.2,0.2,0.9,0.4,29.6
2019-01-06 21:00:00,1.0,0.1,0.2,0.7,0.3,29.6
2019-01-06 22:00:00,1.1,0.1,0.2,0.9,0.3,30.2
2019-01-06 23:00:00,1.0,0.2,0.2,0.8,0.3,30.8
2019-01-06 00:00:00,0.8,0.2,0.1,0.7,0.3,31.5
2019-01-07 01:00:00,0.8,0.2,0.1,0.7,0.3,32.0
2019-01-07 02:00:00,0.9,0.2,0.2,0.6,0.2,32.4
2019-01-07 03:00:00,0.9,0.1,0.2,0.6,0.1,32.4
2019-01-07 04:00:00,0.9,0.1,0.2,0.7,0.2,32.7
2019-01-07 05:00:00,1.2,0.1,0.2,1.0,0.2,33.0
2019-01-07 06:00:00,1.7,0.2,0.2,1.4,0.1,33.3
