Date,gas_prod_vol_m3
2019-01,5213817.1
2019-02,4704358.5
2019-03,5223571.0
2019-04,4807638.7
2019-05,4561579.5
2019-06,4605265.3
2019-07,4771919.2
2019-08,4732956.6
2019-09,4660372.9
2019-10,4838847.5
2019-11,5185548.6
2019-12,5508986.7
2020-01,5421631.6
2020-02,5099580.5
2020-03,5471040.4
2020-04,5193531.9
2020-05,5282204.8
2020-06,4998401.2
2020-07,4954881.5
2020-08,4954800.7
2020-09,4500421.1
2020-10,5045550.0
2020-11,5182007.5
2020-12,5494668.9
2021-01,5591040.3
2021-02,5064619.2
2021-03,5588412.9
2021-04,5274400.0
2021-05,5246173.5
2021-06,5099474.2
2021-07,5313956.1
2021-08,5543320.2
2021-09,5477704.9
2021-10,5493284.6
2021-11,5874244.5
2021-12,6130994.2
